iter	Passed	Remaining
0	3	303
1	5	263
2	12	419
3	14	355
4	17	323
5	20	321
6	22	304
7	25	295
8	28	284
9	30	272
10	32	259
11	33	248
12	35	239
13	38	238
14	40	230
15	42	222
16	44	215
17	46	212
18	48	206
19	51	204
20	56	212
21	58	207
22	60	201
23	61	196
24	63	191
25	66	189
26	68	186
27	70	182
28	73	179
29	75	176
30	77	172
31	79	169
32	81	165
33	86	167
34	88	164
35	90	160
36	92	157
37	95	155
38	96	151
39	99	149
40	101	146
41	102	141
42	103	137
43	105	134
44	106	130
45	108	127
46	110	124
47	111	120
48	113	117
49	114	114
50	116	111
51	118	108
52	119	105
53	122	104
54	123	100
55	124	98
56	126	95
57	130	94
58	131	91
59	133	88
60	134	86
61	136	83
62	138	81
63	139	78
64	140	75
65	142	73
66	144	71
67	146	68
68	148	66
69	149	64
70	151	61
71	153	59
72	154	57
73	156	54
74	160	53
75	163	51
76	164	49
77	166	46
78	167	44
79	168	42
80	170	39
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	181	27
87	182	24
88	184	22
89	185	20
90	201	19
91	205	17
92	208	15
93	210	13
94	211	11
95	213	8
96	215	6
97	218	4
98	221	2
99	222	0
